DATE,CURRENCY,Open,Close,High,Low
2022-07-07,,16.8115,16.7205,16.8601,16.6773
2022-07-08,,16.7193,16.8726,16.9652,16.6869
2022-07-10,,16.8707,16.8593,16.8831,16.8435
2022-07-11,,16.8707,17.1074,17.1267,16.8435
2022-07-12,,17.1074,17.0288,17.1888,16.9429
2022-07-13,,17.0281,16.9093,17.1778,16.8592
2022-07-14,,16.9095,17.1597,17.306,16.9062
2022-07-15,,17.1597,17.0751,17.2844,17.0452
2022-07-17,,17.0797,17.0793,17.092,17.0726
2022-07-18,,17.0797,17.1225,17.1835,16.9674
2022-07-19,,17.1225,17.0962,17.1568,16.9541
2022-07-20,,17.0965,17.1532,17.1937,17.036
2022-07-21,,17.1531,17.0555,17.2603,16.998
2022-07-22,,17.0555,16.8275,17.095,16.7862
2022-07-24,,17.0048,16.826,17.0212,16.8151
2022-07-25,,17.0048,16.7936,17.0212,16.7142
2022-07-26,,16.7937,16.9474,16.9745,16.6872
2022-07-27,,16.9484,16.6902,16.9484,16.6596
2022-07-28,,16.6902,16.4836,16.8289,16.4817
2022-07-29,,16.4837,16.6237,16.6783,16.3906
2022-07-31,,16.5191,16.5807,16.6206,16.519
2022-08-01,,16.5191,16.5157,16.6696,16.4171
2022-08-02,,16.5152,16.8212,16.853,16.4394
2022-08-03,,16.8214,16.7492,16.9441,16.6734
2022-08-04,,16.7492,16.6118,16.8261,16.5946
2022-08-05,,16.6108,16.7768,16.8752,16.5517
2022-08-07,,16.7856,16.7883,16.7915,16.7856
2022-08-08,,16.7856,16.6922,16.8018,16.5766
2022-08-09,,16.69,16.5765,16.7363,16.5616
2022-08-10,,16.5772,16.2076,16.6317,16.1165
2022-08-11,,16.2076,16.2346,16.2683,16.1104
2022-08-12,,16.2332,16.1684,16.3088,16.155
2022-08-14,,16.225,16.2314,16.234,16.215
2022-08-15,,16.225,16.436,16.4639,16.189
2022-08-16,,16.4361,16.3861,16.5193,16.3525
2022-08-17,,16.3836,16.6503,16.692,16.3614
2022-08-18,,16.6503,16.8639,16.8989,16.6325
2022-08-19,,16.864,17.0033,17.0484,16.863
2022-08-21,,16.9962,16.996,17.008,16.9949
2022-08-22,,16.9962,16.9974,17.0994,16.978
2022-08-23,,16.9974,16.9951,17.1413,16.9114
2022-08-24,,16.9951,16.937,17.07,16.916
2022-08-25,,16.937,16.7494,16.9651,16.7102
2022-08-26,,16.7487,16.8849,16.9003,16.7158
2022-08-28,,16.8903,16.8531,16.8912,16.8312
2022-08-29,,16.8903,16.8275,17.0086,16.7887
2022-08-30,,16.8275,16.9807,17.019,16.745
2022-08-31,,16.9807,17.1189,17.1398,16.8889
2022-09-01,,17.119,17.2757,17.3261,17.0874
2022-09-02,,17.2756,17.305,17.3485,17.1827
2022-09-04,,17.3076,17.2919,17.3179,17.2805
2022-09-05,,17.3076,17.1655,17.4244,17.1297
2022-09-06,,17.1659,17.3005,17.337,17.0573
2022-09-07,,17.3005,17.2688,17.4635,17.2369
2022-09-08,,17.2677,17.5183,17.5452,17.2219
2022-09-09,,17.5183,17.3064,17.5288,17.2179
2022-09-11,,17.2947,17.2974,17.3041,17.2893
2022-09-12,,17.2947,17.1269,17.3176,17.0523
2022-09-13,,17.1269,17.457,17.4765,16.9818
2022-09-14,,17.457,17.4833,17.4984,17.3609
2022-09-15,,17.4836,17.5652,17.5972,17.4398
2022-09-16,,17.5657,17.6103,17.7161,17.5447
2022-09-18,,17.7975,17.65,17.7975,17.6413
2022-09-19,,17.7975,17.675,17.7975,17.6049
2022-09-20,,17.6754,17.6902,17.8129,17.6238
2022-09-21,,17.6902,17.7428,17.7887,17.5395
2022-09-22,,17.7425,17.5982,17.8007,17.4454
2022-09-23,,17.5981,17.95,17.9875,17.5596
2022-09-25,,17.9488,17.9547,17.9572,17.9488
